Decimal: -39, Binario: , Hexadecimal: 
Decimal: -36, Binario: , Hexadecimal: 
Decimal: 8, Binario: 1000, Hexadecimal: 8
Decimal: 34, Binario: 100010, Hexadecimal: 22
Decimal: 17, Binario: 10001, Hexadecimal: 11
Decimal: 49, Binario: 110001, Hexadecimal: 31
Decimal: 5, Binario: 101, Hexadecimal: 5
Decimal: 39, Binario: 100111, Hexadecimal: 27
Decimal: 0, Binario: , Hexadecimal: 
Decimal: 33, Binario: 100001, Hexadecimal: 21
Decimal: 12, Binario: 1100, Hexadecimal: C
Decimal: -6, Binario: , Hexadecimal: 
Decimal: 27, Binario: 11011, Hexadecimal: 1B
Decimal: -4, Binario: , Hexadecimal: 
Decimal: -38, Binario: , Hexadecimal: 
Decimal: 26, Binario: 11010, Hexadecimal: 1A
Decimal: 49, Binario: 110001, Hexadecimal: 31
Decimal: 29, Binario: 11101, Hexadecimal: 1D
Decimal: 42, Binario: 101010, Hexadecimal: 2A
Decimal: -16, Binario: , Hexadecimal: 
Decimal: -28, Binario: , Hexadecimal: 
Decimal: 34, Binario: 100010, Hexadecimal: 22
Decimal: 20, Binario: 10100, Hexadecimal: 14
Decimal: 0, Binario: , Hexadecimal: 
Decimal: 25, Binario: 11001, Hexadecimal: 19
Decimal: 45, Binario: 101101, Hexadecimal: 2D
Decimal: 3, Binario: 11, Hexadecimal: 3
Decimal: -46, Binario: , Hexadecimal: 
Decimal: -46, Binario: , Hexadecimal: 
Decimal: 29, Binario: 11101, Hexadecimal: 1D
Decimal: 33, Binario: 100001, Hexadecimal: 21
Decimal: 29, Binario: 11101, Hexadecimal: 1D
Decimal: 26, Binario: 11010, Hexadecimal: 1A
Decimal: -5, Binario: , Hexadecimal: 
Decimal: -36, Binario: , Hexadecimal: 
Decimal: 12, Binario: 1100, Hexadecimal: C
Decimal: 45, Binario: 101101, Hexadecimal: 2D
Decimal: -50, Binario: , Hexadecimal: 
Decimal: 0, Binario: , Hexadecimal: 
Decimal: -6, Binario: , Hexadecimal: 
Decimal: -39, Binario: , Hexadecimal: 
Decimal: 35, Binario: 100011, Hexadecimal: 23
Decimal: 26, Binario: 11010, Hexadecimal: 1A
Decimal: -35, Binario: , Hexadecimal: 
Decimal: -42, Binario: , Hexadecimal: 
Decimal: 14, Binario: 1110, Hexadecimal: E
Decimal: -3, Binario: , Hexadecimal: 
Decimal: 22, Binario: 10110, Hexadecimal: 16
Decimal: -47, Binario: , Hexadecimal: 
Decimal: 12, Binario: 1100, Hexadecimal: C
Decimal: -17, Binario: , Hexadecimal: 
Decimal: -31, Binario: , Hexadecimal: 
Decimal: -25, Binario: , Hexadecimal: 
Decimal: -35, Binario: , Hexadecimal: 
Decimal: -18, Binario: , Hexadecimal: 
Decimal: 14, Binario: 1110, Hexadecimal: E
Decimal: 37, Binario: 100101, Hexadecimal: 25
Decimal: -8, Binario: , Hexadecimal: 
Decimal: -41, Binario: , Hexadecimal: 
Decimal: -50, Binario: , Hexadecimal: 
Decimal: -9, Binario: , Hexadecimal: 
Decimal: 2, Binario: 10, Hexadecimal: 2
Decimal: 12, Binario: 1100, Hexadecimal: C
Decimal: -39, Binario: , Hexadecimal: 
Decimal: -17, Binario: , Hexadecimal: 
Decimal: 0, Binario: , Hexadecimal: 
Decimal: 27, Binario: 11011, Hexadecimal: 1B
Decimal: 28, Binario: 11100, Hexadecimal: 1C
Decimal: 45, Binario: 101101, Hexadecimal: 2D
Decimal: -44, Binario: , Hexadecimal: 
Decimal: 28, Binario: 11100, Hexadecimal: 1C
Decimal: 35, Binario: 100011, Hexadecimal: 23
Decimal: -33, Binario: , Hexadecimal: 
Decimal: 43, Binario: 101011, Hexadecimal: 2B
Decimal: -4, Binario: , Hexadecimal: 
Decimal: 23, Binario: 10111, Hexadecimal: 17
Decimal: -49, Binario: , Hexadecimal: 
Decimal: 49, Binario: 110001, Hexadecimal: 31
Decimal: -7, Binario: , Hexadecimal: 
Decimal: -38, Binario: , Hexadecimal: 
Decimal: -45, Binario: , Hexadecimal: 
Decimal: 5, Binario: 101, Hexadecimal: 5
Decimal: -21, Binario: , Hexadecimal: 
Decimal: 26, Binario: 11010, Hexadecimal: 1A
Decimal: -2, Binario: , Hexadecimal: 
Decimal: -24, Binario: , Hexadecimal: 
Decimal: 6, Binario: 110, Hexadecimal: 6
Decimal: -45, Binario: , Hexadecimal: 
Decimal: -4, Binario: , Hexadecimal: 
Decimal: 15, Binario: 1111, Hexadecimal: F
Decimal: 0, Binario: , Hexadecimal: 
Decimal: -17, Binario: , Hexadecimal: 
Decimal: -35, Binario: , Hexadecimal: 
Decimal: 43, Binario: 101011, Hexadecimal: 2B
Decimal: 45, Binario: 101101, Hexadecimal: 2D
Decimal: -35, Binario: , Hexadecimal: 
Decimal: -8, Binario: , Hexadecimal: 
Decimal: 28, Binario: 11100, Hexadecimal: 1C
Decimal: 47, Binario: 101111, Hexadecimal: 2F
Decimal: 34, Binario: 100010, Hexadecimal: 22
Decimal: -24, Binario: , Hexadecimal: 
Decimal: -42, Binario: , Hexadecimal: 
Decimal: -13, Binario: , Hexadecimal: 
Decimal: 14, Binario: 1110, Hexadecimal: E
Decimal: -45, Binario: , Hexadecimal: 
